Depth (m),Time,Black Carbon (ppb)
26.574,2005.255,1.88
26.579,2005.253,2.18
26.584,2005.252,1.91
26.589,2005.25,2.26
26.593,2005.248,2.63
26.598,2005.247,2.61
26.603,2005.245,2.05
26.608,2005.243,2.56
26.613,2005.241,2.18
26.617,2005.24,2.33
26.622,2005.238,2.99
26.627,2005.236,3.3
26.632,2005.235,3.91
26.637,2005.233,4.48
26.641,2005.231,4.45
26.646,2005.23,4.31
26.651,2005.228,4.68
26.656,2005.226,5.3
26.661,2005.224,5.49
26.665,2005.223,5.59
26.67,2005.221,5.56
26.675,2005.219,5.23
26.68,2005.218,4.06
26.685,2005.216,3.56
26.689,2005.214,3.51
26.694,2005.213,3.19
26.699,2005.211,3.35
26.704,2005.209,3.36
26.708,2005.208,3.04
26.713,2005.206,2.88
26.718,2005.204,3.98
26.723,2005.202,3.61
26.728,2005.201,3.22
26.733,2005.199,3.21
26.738,2005.197,3.47
26.744,2005.195,3.44
26.749,2005.193,2.74
26.754,2005.191,2.93
26.76,2005.189,2.17
26.765,2005.187,2.15
26.771,2005.185,2.55
26.776,2005.183,1.75
26.781,2005.182,1.98
26.787,2005.18,2.47
26.792,2005.178,2.32
26.797,2005.176,2.63
26.803,2005.174,2.55
26.808,2005.172,2.23
26.813,2005.17,2.1
26.819,2005.168,1.58
26.824,2005.166,1.63
26.829,2005.165,1.91
26.835,2005.163,2.79
26.84,2005.161,3.22
26.845,2005.159,2.95
26.85,2005.157,2.78
26.856,2005.155,2.87
26.861,2005.153,3.33
26.866,2005.152,2.99
26.871,2005.15,2.91
26.877,2005.148,2.54
26.882,2005.146,2.76
26.887,2005.144,2.48
26.892,2005.142,2.69
26.897,2005.141,3.11
26.903,2005.138,2.59
26.908,2005.137,2.81
26.913,2005.135,1.75
26.918,2005.133,1.78
26.924,2005.131,1.51
26.929,2005.129,1.38
26.934,2005.127,1.41
26.939,2005.126,1.25
26.944,2005.124,1.14
26.95,2005.122,1.52
26.955,2005.12,1.08
26.961,2005.118,0.94
26.966,2005.116,1.13
26.971,2005.114,0.94
26.977,2005.112,1.02
26.982,2005.11,1.43
26.988,2005.108,1.25
26.993,2005.106,1.34
26.999,2005.104,1.4
27.004,2005.103,1.48
27.009,2005.101,1.41
27.015,2005.099,1.28
27.02,2005.097,2.09
27.026,2005.095,2.25
27.031,2005.093,2.26
27.036,2005.091,2.66
27.042,2005.089,2.3
27.047,2005.087,1.9
27.053,2005.085,1.62
27.058,2005.083,0.97
27.063,2005.082,0.88
27.068,2005.08,0.59
27.073,2005.078,0.99
27.079,2005.076,0.63
27.084,2005.074,0.78
27.089,2005.072,0.66
27.094,2005.071,0.66
27.099,2005.069,0.84
27.104,2005.067,0.68
27.109,2005.065,0.98
27.114,2005.063,0.76
27.119,2005.062,0.57
27.124,2005.06,0.68
27.129,2005.058,0.49
27.134,2005.056,0.46
27.139,2005.055,0.49
27.144,2005.053,0.49
27.149,2005.051,0.67
27.154,2005.049,0.91
27.159,2005.047,0.97
27.164,2005.046,1.04
27.169,2005.044,0.98
27.174,2005.042,0.88
27.178,2005.041,0.99
27.183,2005.039,1.15
27.188,2005.037,0.89
27.192,2005.036,1.12
27.197,2005.034,0.92
27.202,2005.032,0.91
27.206,2005.031,1.08
27.211,2005.029,0.94
27.216,2005.027,0.7
27.221,2005.025,0.86
27.225,2005.024,0.81
27.23,2005.022,0.88
27.235,2005.02,0.74
27.239,2005.019,0.66
27.244,2005.017,0.92
27.249,2005.016,0.96
27.253,2005.014,0.8
27.258,2005.012,1.03
27.263,2005.011,0.92
27.268,2005.009,0.82
27.275,2005.006,0.84
27.281,2005.004,0.8
27.287,2005.002,0.69
27.293,2005,0.78
27.3,2004.997,0.86
27.306,2004.995,1.29
27.312,2004.992,1.76
27.318,2004.99,1.96
27.324,2004.987,2.38
27.331,2004.985,2.99
27.337,2004.982,2.81
27.343,2004.98,2.81
27.349,2004.977,3.01
27.356,2004.975,3.21
27.362,2004.972,3.86
27.368,2004.97,3.62
27.374,2004.967,3.35
27.38,2004.965,3.14
27.387,2004.962,3.04
27.393,2004.96,2.17
27.399,2004.957,2
27.404,2004.955,1.73
27.41,2004.953,1.57
27.416,2004.95,1.53
27.422,2004.948,1.14
27.427,2004.946,1.23
27.433,2004.944,1.36
27.439,2004.941,1.74
27.445,2004.939,1.7
27.45,2004.937,1.88
27.456,2004.934,2.25
27.462,2004.932,2.53
27.468,2004.93,2.36
27.473,2004.927,2.96
27.479,2004.925,2.61
27.485,2004.923,2.19
27.491,2004.92,2.42
27.497,2004.918,1.86
27.502,2004.916,1.54
27.508,2004.913,1.4
27.514,2004.911,1.6
27.519,2004.909,1.58
27.524,2004.907,1.75
27.529,2004.905,1.99
27.535,2004.903,1.89
27.54,2004.901,2.11
27.545,2004.899,2
27.551,2004.896,2.32
27.556,2004.894,2.18
27.561,2004.892,2.76
27.566,2004.89,2.49
27.572,2004.888,2.43
27.577,2004.886,2.25
27.582,2004.884,2.52
27.588,2004.881,3.09
27.593,2004.879,2.83
27.598,2004.877,3.84
27.603,2004.875,3.48
27.609,2004.873,3.29
27.614,2004.871,3.51
27.619,2004.869,3.46
27.625,2004.866,3.34
27.63,2004.864,3.73
27.635,2004.862,3.53
27.64,2004.86,3.46
27.646,2004.858,3.08
27.651,2004.856,2.85
27.656,2004.854,2.16
27.662,2004.851,1.78
27.667,2004.849,1.97
27.672,2004.847,1.9
27.677,2004.845,2.41
27.683,2004.843,2.38
27.688,2004.841,2.5
27.693,2004.839,2.34
27.699,2004.837,2.73
27.704,2004.835,3.43
27.709,2004.833,2.67
27.714,2004.831,3.19
27.72,2004.828,2.77
27.725,2004.826,2.41
27.73,2004.824,2.12
27.735,2004.822,2.65
27.74,2004.82,2.09
27.746,2004.818,2.06
27.751,2004.816,1.95
27.756,2004.814,2.07
27.761,2004.812,1.9
27.766,2004.81,1.4
27.771,2004.808,1.27
27.776,2004.806,0.86
27.782,2004.803,1.14
27.787,2004.801,0.54
27.792,2004.799,0.31
27.797,2004.797,0.19
27.802,2004.795,0.2
27.807,2004.793,0.15
27.812,2004.791,0.31
27.818,2004.789,0.43
27.823,2004.787,0.61
27.828,2004.785,0.56
27.833,2004.783,0.32
27.838,2004.781,0.38
27.842,2004.779,0.62
27.846,2004.778,0.5
27.851,2004.776,0.46
27.855,2004.774,0.47
27.859,2004.772,0.31
27.863,2004.771,0.83
27.867,2004.769,0.75
27.872,2004.767,0.36
27.876,2004.765,0.5
27.88,2004.764,0.37
27.884,2004.762,0.55
27.888,2004.761,0.44
27.893,2004.759,0.43
27.897,2004.757,0.3
27.901,2004.755,0.47
27.905,2004.754,0.59
27.909,2004.752,0.29
27.914,2004.75,0.75
27.918,2004.749,2.87
27.922,2004.747,3.23
27.926,2004.745,0.45
27.931,2004.743,0.47
27.935,2004.742,0.36
27.94,2004.74,0.34
27.944,2004.738,0.27
27.949,2004.736,0.32
27.953,2004.734,0.28
27.957,2004.733,0.24
27.962,2004.731,0.25
27.966,2004.729,0.35
27.971,2004.727,0.32
27.975,2004.726,0.19
27.979,2004.724,0.17
27.984,2004.722,0.22
27.988,2004.72,0.24
27.993,2004.718,0.1
27.997,2004.717,0.11
28.001,2004.715,0.12
28.006,2004.713,0.21
28.01,2004.712,0.25
28.015,2004.71,0.28
28.019,2004.708,0.23
28.023,2004.706,0.31
28.028,2004.704,0.43
28.032,2004.703,0.53
28.037,2004.701,0.32
28.041,2004.699,0.16
28.045,2004.697,0.17
28.05,2004.695,0.26
28.054,2004.694,0.16
28.059,2004.692,0.22
28.063,2004.69,0.3
28.068,2004.688,0.47
28.072,2004.687,0.63
28.076,2004.685,0.55
28.081,2004.683,0.5
28.085,2004.681,0.68
28.09,2004.679,0.74
28.094,2004.678,0.62
28.099,2004.676,0.86
28.103,2004.674,0.87
28.108,2004.672,0.67
28.113,2004.67,0.94
28.117,2004.669,0.74
28.122,2004.667,0.98
28.127,2004.665,0.9
28.132,2004.663,0.89
28.136,2004.661,0.87
28.141,2004.659,1.15
28.146,2004.657,1.14
28.151,2004.655,1.44
28.155,2004.653,1.78
28.16,2004.651,2.08
28.165,2004.649,2.04
28.169,2004.648,1.8
28.174,2004.646,1.89
28.179,2004.644,1.6
28.184,2004.642,1.84
28.188,2004.64,1.57
28.193,2004.638,1.18
28.198,2004.636,1.3
28.202,2004.634,1.15
28.207,2004.632,0.96
28.212,2004.63,0.92
28.216,2004.629,0.97
28.221,2004.627,1
28.225,2004.625,1.61
28.23,2004.623,2.13
28.235,2004.621,2.52
28.239,2004.619,3.04
28.244,2004.617,3.12
28.249,2004.615,3.25
28.253,2004.614,3.65
28.258,2004.612,3.12
28.263,2004.61,3.2
28.267,2004.608,3.03
28.272,2004.606,2.77
28.277,2004.604,2.79
28.281,2004.603,3.38
28.286,2004.601,2.81
28.291,2004.599,4.3
28.295,2004.597,7.38
28.3,2004.595,10.07
28.304,2004.593,12.98
28.309,2004.591,15.67
28.314,2004.589,16.31
28.318,2004.588,14.68
28.323,2004.586,13.77
28.327,2004.584,13.01
28.332,2004.582,11.02
28.337,2004.58,8.84
28.341,2004.578,7.37
28.346,2004.576,6.54
28.35,2004.575,5.56
28.355,2004.573,5.23
28.36,2004.571,5.21
28.364,2004.569,4.8
28.369,2004.567,4.67
28.373,2004.566,3.67
28.378,2004.564,3.58
28.383,2004.562,3.83
28.387,2004.56,3.69
28.392,2004.558,3.95
28.397,2004.556,3.53
28.401,2004.554,4.74
28.406,2004.552,6.47
28.411,2004.55,8.78
28.415,2004.549,9.54
28.42,2004.547,11.27
28.424,2004.545,12.64
28.429,2004.543,13.89
28.434,2004.541,13.1
28.438,2004.539,12.99
28.443,2004.537,15.18
28.448,2004.535,16.52
28.452,2004.534,13.68
28.457,2004.532,9.57
28.462,2004.53,10.92
28.466,2004.528,17.12
28.471,2004.526,33.47
28.476,2004.524,45.6
28.48,2004.523,34.99
28.485,2004.521,24.2
28.49,2004.519,16.73
28.494,2004.517,10.95
28.499,2004.515,7.19
28.503,2004.513,5.75
28.508,2004.511,4.56
28.513,2004.509,3.62
28.517,2004.508,3.13
28.522,2004.506,3.49
28.527,2004.504,2.94
28.531,2004.502,2.47
28.536,2004.5,1.88
28.541,2004.498,1.61
28.545,2004.496,1.63
28.55,2004.494,1.03
28.554,2004.493,1.17
28.559,2004.491,1.09
28.564,2004.489,1.05
28.568,2004.487,0.62
28.573,2004.485,0.6
28.578,2004.483,1.84
28.583,2004.481,3.18
28.588,2004.479,4.35
28.593,2004.477,4.31
28.597,2004.476,4.59
28.602,2004.474,3.63
28.607,2004.472,2.79
28.612,2004.47,3.04
28.617,2004.467,3.09
28.622,2004.465,3.28
28.627,2004.463,3.41
28.631,2004.462,3.11
28.636,2004.46,3.02
28.641,2004.458,3.27
28.646,2004.456,2.81
28.651,2004.454,3.4
28.656,2004.452,2.9
28.661,2004.45,3.48
28.665,2004.448,3.19
28.67,2004.446,2.97
28.674,2004.445,3.3
28.679,2004.443,2.97
28.684,2004.441,3.28
28.688,2004.439,2.9
28.693,2004.437,2.83
28.697,2004.435,2.92
28.702,2004.433,2.89
28.706,2004.432,3.41
28.711,2004.43,3.26
28.716,2004.428,3.39
28.72,2004.426,2.79
28.725,2004.424,2.96
28.729,2004.422,3.05
28.734,2004.42,3.08
28.738,2004.419,2.69
28.743,2004.417,2.35
28.747,2004.415,2
28.752,2004.413,2.21
28.757,2004.411,2.35
28.761,2004.41,2.63
28.766,2004.408,3.35
28.771,2004.406,3.35
28.776,2004.404,2.41
28.78,2004.402,1.46
28.785,2004.4,2.15
28.79,2004.398,3.59
28.795,2004.396,4.08
28.8,2004.394,4.72
28.804,2004.392,5.39
28.809,2004.39,5.35
28.814,2004.388,5.44
28.819,2004.386,5.33
28.824,2004.384,6.52
28.828,2004.383,6.78
28.833,2004.381,6.63
28.838,2004.379,5.98
28.843,2004.377,6.39
28.848,2004.375,6.75
28.853,2004.373,6.79
28.857,2004.371,7.21
28.862,2004.369,7.23
28.867,2004.367,7.37
28.872,2004.365,7.13
28.876,2004.363,9.44
28.881,2004.361,10.55
28.886,2004.359,12.12
28.89,2004.358,14.14
28.895,2004.356,13.59
28.9,2004.354,12.54
28.905,2004.352,11.78
28.909,2004.35,11.8
28.914,2004.348,10.88
28.919,2004.346,9.75
28.924,2004.344,9.06
28.928,2004.342,8.63
28.933,2004.34,8.9
28.938,2004.338,8.08
28.943,2004.336,8.07
28.947,2004.335,9.02
28.952,2004.333,8.17
28.957,2004.331,9.49
28.961,2004.329,10.01
28.966,2004.327,9.34
28.971,2004.325,8.29
28.976,2004.323,7.27
28.98,2004.322,5.13
28.985,2004.32,3.82
28.99,2004.318,4.06
28.994,2004.316,4.39
28.999,2004.314,4.34
29.004,2004.312,4.85
29.008,2004.31,5.34
29.013,2004.308,5.3
29.018,2004.306,5.12
29.023,2004.304,4.99
29.027,2004.303,5.03
29.032,2004.301,4.1
29.037,2004.299,2.88
29.041,2004.297,2.31
29.046,2004.295,2.59
29.051,2004.293,2.43
29.056,2004.291,2.3
29.06,2004.289,2.48
29.065,2004.287,3.33
29.07,2004.285,4.28
29.075,2004.283,3.28
29.08,2004.281,3.31
29.085,2004.279,2.65
29.09,2004.277,2.46
29.094,2004.276,2.55
29.099,2004.274,2.29
29.104,2004.272,2.1
29.109,2004.27,2.56
29.114,2004.268,2.37
29.119,2004.266,2.22
29.124,2004.264,2.74
29.128,2004.262,2.42
29.133,2004.26,2.1
29.138,2004.258,2.08
29.143,2004.256,2.25
29.148,2004.254,2.25
29.153,2004.252,2.62
29.157,2004.25,2.7
29.162,2004.248,2.62
29.167,2004.246,2.43
29.172,2004.244,2.2
29.176,2004.243,2.2
29.181,2004.241,2.23
29.186,2004.239,2.19
29.191,2004.237,1.73
29.195,2004.235,2.03
29.2,2004.233,2.21
29.205,2004.231,2.18
29.21,2004.229,2.26
29.214,2004.227,2.77
29.219,2004.225,2.5
29.224,2004.223,2.84
29.229,2004.221,2.66
29.233,2004.22,3.04
29.238,2004.218,3.63
29.243,2004.216,3.52
29.248,2004.214,2.99
29.252,2004.212,3.8
29.257,2004.21,3.65
29.262,2004.208,3.54
29.266,2004.207,2.59
29.271,2004.205,2.11
29.275,2004.203,1.66
29.28,2004.201,1.83
29.285,2004.199,1.88
29.289,2004.197,1.39
29.294,2004.195,2.06
29.299,2004.193,3.6
29.303,2004.192,3.74
29.308,2004.19,3.34
29.313,2004.188,4.04
29.317,2004.186,3.46
29.322,2004.184,3.71
29.327,2004.182,2.73
29.331,2004.18,3.62
29.336,2004.178,3.07
29.341,2004.176,3.11
29.345,2004.175,2.94
29.35,2004.173,2.77
29.355,2004.171,3.26
29.36,2004.169,2.82
29.365,2004.167,2.18
29.369,2004.165,1.77
29.374,2004.163,1.61
29.379,2004.161,1.47
29.384,2004.159,2.16
29.389,2004.157,1.65
29.393,2004.155,1.89
29.398,2004.153,2.35
29.403,2004.151,2.98
29.408,2004.149,3.94
29.413,2004.147,2.2
29.417,2004.146,1.83
29.422,2004.144,1.41
29.427,2004.142,1.48
29.432,2004.14,1.08
29.437,2004.138,1.59
29.441,2004.136,2.06
29.446,2004.134,1.54
29.451,2004.132,1.7
29.455,2004.131,1.99
29.46,2004.129,2.59
29.465,2004.127,2.25
29.47,2004.124,2.23
29.474,2004.123,2.35
29.479,2004.121,1.96
29.484,2004.119,2.14
29.488,2004.117,1.4
29.493,2004.115,1.22
29.498,2004.113,1.04
29.503,2004.111,0.84
29.507,2004.11,0.65
29.512,2004.108,0.59
29.517,2004.106,0.56
29.522,2004.104,0.46
29.526,2004.102,0.42
29.531,2004.1,0.45
29.536,2004.098,0.46
29.54,2004.096,0.38
29.545,2004.094,0.48
29.55,2004.092,0.3
29.554,2004.091,0.32
29.559,2004.089,0.46
29.564,2004.087,0.62
29.568,2004.085,0.62
29.573,2004.083,1.17
29.578,2004.081,1.2
29.582,2004.079,1.76
29.587,2004.077,1.73
29.591,2004.076,1.45
29.596,2004.074,2.61
29.601,2004.072,2.48
29.605,2004.07,2.45
29.61,2004.068,1.75
29.615,2004.066,1.25
29.619,2004.065,0.97
29.624,2004.063,0.92
29.629,2004.061,0.84
29.633,2004.059,0.85
29.638,2004.057,0.98
29.643,2004.055,0.92
29.647,2004.053,1.07
29.652,2004.051,0.83
29.657,2004.049,0.91
29.661,2004.048,0.88
29.666,2004.046,0.9
29.671,2004.044,0.86
29.675,2004.042,1.49
29.68,2004.04,2.61
29.684,2004.038,3.04
29.689,2004.036,3.53
29.694,2004.034,3.39
29.698,2004.033,4.13
29.703,2004.031,3.99
29.708,2004.029,3.66
29.712,2004.027,4.78
29.717,2004.025,8.58
29.722,2004.023,2.2
29.726,2004.022,1.78
29.731,2004.02,2.74
29.735,2004.018,3.46
29.739,2004.016,3.61
29.744,2004.014,3.25
29.748,2004.013,2.11
29.753,2004.011,2.22
29.757,2004.009,2.24
29.762,2004.007,2.68
29.766,2004.005,1.95
29.77,2004.004,1.54
29.775,2004.002,1.56
29.779,2004,1.08
29.784,2003.999,1
29.788,2003.997,0.94
29.793,2003.995,0.86
29.797,2003.994,1.27
29.801,2003.993,1.08
29.806,2003.991,1.19
29.81,2003.99,1.37
29.815,2003.988,1.23
29.819,2003.987,1.09
29.824,2003.985,1.34
29.829,2003.983,1.24
29.833,2003.982,1.12
29.838,2003.98,1.04
29.842,2003.979,1.12
29.847,2003.977,1.48
29.852,2003.975,1.57
29.856,2003.974,1.3
29.861,2003.972,1.43
29.865,2003.971,1.3
29.87,2003.969,1.51
29.875,2003.968,1.65
29.879,2003.966,1.4
29.884,2003.964,1.49
29.888,2003.963,1.38
29.893,2003.961,1.22
29.897,2003.96,1.31
29.902,2003.958,1.31
29.907,2003.957,1.4
29.911,2003.955,1.23
29.916,2003.954,1.51
29.92,2003.952,1.32
29.925,2003.951,1.31
29.929,2003.949,1.29
29.934,2003.947,1.55
29.938,2003.946,1.24
29.942,2003.945,1.2
29.947,2003.943,1.13
29.951,2003.942,1.19
29.956,2003.94,1.1
29.96,2003.939,1.28
29.965,2003.937,1.19
29.969,2003.936,1.13
29.974,2003.934,1.28
29.978,2003.932,1.38
29.983,2003.931,1.28
29.987,2003.929,0.97
29.992,2003.928,1.11
29.996,2003.926,0.96
30.001,2003.925,1.16
30.005,2003.923,1.49
30.009,2003.922,0.74
30.014,2003.92,0.59
30.018,2003.919,0.86
30.023,2003.917,1.03
30.027,2003.916,0.76
30.032,2003.914,1.23
30.036,2003.913,1.22
30.041,2003.911,1.42
30.045,2003.91,2.16
30.05,2003.908,1.48
30.054,2003.907,1.68
30.059,2003.905,1.73
30.063,2003.904,1.37
30.067,2003.902,1.01
30.072,2003.9,1.38
30.076,2003.899,0.67
30.081,2003.897,0.93
30.085,2003.896,0.57
30.09,2003.894,0.63
30.094,2003.893,0.46
30.099,2003.891,0.46
30.103,2003.89,0.47
30.108,2003.888,0.37
30.112,2003.887,0.39
30.117,2003.885,0.51
30.121,2003.884,0.48
30.126,2003.882,0.48
30.131,2003.88,0.85
30.135,2003.879,1.67
30.14,2003.877,3.12
30.144,2003.876,3.63
30.149,2003.874,4.96
30.153,2003.873,4.8
30.158,2003.871,5.14
30.162,2003.87,5.61
30.167,2003.868,5.34
30.172,2003.866,4.72
30.176,2003.865,3.73
30.181,2003.863,3.21
30.185,2003.862,2.24
30.19,2003.86,1.82
30.194,2003.859,1.86
30.199,2003.857,1.42
30.204,2003.856,1.17
30.209,2003.854,1.15
30.213,2003.852,0.82
30.218,2003.851,0.6
30.223,2003.849,0.52
30.227,2003.848,0.43
30.232,2003.846,0.4
30.237,2003.844,0.25
30.241,2003.843,0.26
30.246,2003.841,0.21
30.251,2003.84,0.48
30.256,2003.838,0.22
30.26,2003.837,0.16
30.265,2003.835,0.29
30.27,2003.833,0.29
30.274,2003.832,0.39
30.279,2003.83,0.42
30.284,2003.828,0.74
30.289,2003.827,0.45
30.293,2003.825,0.35
30.297,2003.824,0.33
30.301,2003.823,0.28
30.305,2003.821,0.14
30.31,2003.819,0.16
30.314,2003.818,0.05
30.318,2003.817,0.05
30.322,2003.815,0.04
30.326,2003.814,0.01
30.331,2003.812,0.06
30.335,2003.811,0.03
30.339,2003.81,0.11
30.343,2003.808,0.2
30.347,2003.807,0.22
30.351,2003.806,0.24
30.356,2003.804,0.45
30.36,2003.802,0.51
30.364,2003.801,0.45
30.368,2003.8,0.33
30.372,2003.798,0.5
30.377,2003.797,0.2
30.381,2003.795,0.3
30.385,2003.794,0.25
30.39,2003.792,1.29
30.394,2003.791,2.7
30.398,2003.79,4.15
30.403,2003.788,4.43
30.407,2003.786,5.35
30.411,2003.785,4.92
30.416,2003.783,5.42
30.42,2003.782,5.96
30.424,2003.781,4.9
30.429,2003.779,6.69
30.433,2003.778,4.44
30.437,2003.776,3.9
30.442,2003.775,4.33
30.446,2003.773,3.67
30.451,2003.771,4.18
30.455,2003.77,4.96
30.459,2003.769,4.84
30.464,2003.767,4.77
30.468,2003.766,4.88
30.472,2003.764,5.13
30.477,2003.763,5.3
30.481,2003.761,5.3
30.485,2003.76,4.79
30.49,2003.758,4.95
30.494,2003.757,4.58
30.498,2003.755,4.85
30.503,2003.754,3.79
30.507,2003.752,3.94
30.512,2003.751,4.21
30.516,2003.749,3.88
30.52,2003.748,3.72
30.525,2003.746,3.4
30.529,2003.745,3.43
30.533,2003.744,3.73
30.538,2003.742,3.77
30.542,2003.741,3.62
30.546,2003.739,3.28
30.551,2003.737,3.63
30.555,2003.736,3.41
30.559,2003.735,3
30.564,2003.733,2.86
30.568,2003.732,2.84
30.573,2003.73,2.33
30.577,2003.729,2.26
30.582,2003.727,2.29
30.587,2003.725,2.19
30.592,2003.724,2.31
30.596,2003.722,2.62
30.601,2003.72,2.37
30.606,2003.719,2.11
30.61,2003.717,1.85
30.615,2003.716,1.75
30.62,2003.714,1.7
30.624,2003.713,1.06
30.629,2003.711,0.92
30.634,2003.709,1.72
30.638,2003.708,2.36
30.643,2003.706,2.76
30.648,2003.704,2.93
30.652,2003.703,3.78
30.657,2003.701,4.69
30.662,2003.7,6.14
30.666,2003.698,6.79
30.671,2003.697,7.69
30.676,2003.695,7.66
30.681,2003.693,7.88
30.685,2003.692,7.68
30.69,2003.69,5.84
30.695,2003.688,5.27
30.699,2003.687,4.61
30.704,2003.685,3.5
30.709,2003.684,3.65
30.713,2003.682,2.73
30.718,2003.681,2.58
30.723,2003.679,3.83
30.727,2003.678,5.77
30.732,2003.676,8.08
30.737,2003.674,8.55
30.741,2003.673,9.2
30.746,2003.671,8.62
30.751,2003.669,6.55
30.755,2003.668,4.37
30.76,2003.666,3.39
30.765,2003.665,2.6
30.77,2003.663,1.94
30.774,2003.662,1.76
30.779,2003.66,1.59
30.784,2003.658,1.74
30.789,2003.656,1.56
30.794,2003.655,1.18
30.799,2003.653,1.21
30.804,2003.651,1.11
30.809,2003.65,1.25
30.814,2003.648,1.05
30.819,2003.646,1.24
30.824,2003.645,1.47
30.829,2003.643,1.51
30.834,2003.641,1.74
30.839,2003.639,2.15
30.844,2003.638,2.11
30.849,2003.636,1.92
30.854,2003.634,1.98
30.859,2003.633,1.9
30.864,2003.631,1.95
30.869,2003.629,1.54
30.874,2003.628,1.75
30.879,2003.626,2.02
30.884,2003.624,2.19
30.889,2003.622,3.78
30.893,2003.621,3.57
30.898,2003.619,3.72
30.902,2003.618,3.17
30.907,2003.616,3.23
30.912,2003.615,2.46
30.916,2003.613,1.94
30.921,2003.612,1.53
30.925,2003.61,0.86
30.93,2003.608,0.72
30.935,2003.607,0.48
30.939,2003.605,0.34
30.944,2003.604,0.24
30.949,2003.602,0.34
30.953,2003.601,0.51
30.958,2003.599,0.27
30.962,2003.598,0.34
30.967,2003.596,0.28
30.972,2003.594,0.19
30.976,2003.593,0.16
30.981,2003.591,0.13
30.985,2003.59,0.19
30.99,2003.588,0.13
30.994,2003.587,0.31
30.998,2003.585,0.24
31.003,2003.584,0.3
31.007,2003.582,0.18
31.011,2003.581,0.16
31.016,2003.579,0.11
31.02,2003.578,0.18
31.024,2003.576,0.19
31.028,2003.575,0.31
31.033,2003.573,0.32
31.037,2003.572,0.44
31.041,2003.571,0.39
31.046,2003.569,0.44
31.05,2003.568,0.35
31.054,2003.566,0.4
31.058,2003.565,0.37
31.063,2003.563,0.26
31.067,2003.562,0.25
31.071,2003.56,0.29
31.076,2003.559,0.27
31.08,2003.557,0.24
31.084,2003.556,0.33
31.088,2003.555,0.24
31.093,2003.553,0.22
31.097,2003.552,0.31
31.101,2003.55,0.32
31.106,2003.549,0.36
31.11,2003.547,0.38
31.114,2003.546,0.39
31.118,2003.544,0.48
31.123,2003.543,0.66
31.127,2003.541,0.49
31.131,2003.54,0.51
31.135,2003.539,0.43
31.14,2003.537,0.48
31.144,2003.536,0.38
31.147,2003.535,0.77
31.15,2003.534,1.3
31.153,2003.533,0.47
31.155,2003.532,0.5
31.158,2003.531,0.8
31.161,2003.53,0.46
31.164,2003.529,0.64
31.167,2003.528,1.06
31.17,2003.527,1.87
31.173,2003.526,1.98
31.175,2003.525,0.97
31.178,2003.524,0.8
31.181,2003.523,0.55
31.184,2003.522,0.73
31.187,2003.521,5.44
31.19,2003.52,4.97
31.192,2003.519,5.38
31.195,2003.518,3.09
31.198,2003.517,2.71
31.201,2003.516,2.53
31.204,2003.515,3.01
31.207,2003.514,3.48
31.21,2003.513,2.79
31.212,2003.512,0.73
31.215,2003.511,2.73
31.218,2003.51,4.05
31.221,2003.509,4.62
31.224,2003.508,3.38
31.227,2003.507,2.69
31.23,2003.506,2.96
31.232,2003.506,2.53
31.235,2003.505,2.59
31.238,2003.504,1.67
31.241,2003.503,2.18
31.244,2003.502,1.66
31.247,2003.501,1.35
31.249,2003.5,1.33
31.252,2003.499,1.54
31.255,2003.498,1.51
31.258,2003.497,1.85
31.261,2003.496,1.63
31.264,2003.495,1.77
31.267,2003.494,1.37
31.269,2003.493,1.12
31.272,2003.492,1.42
31.275,2003.491,1.44
31.278,2003.49,1.74
31.281,2003.489,1.62
31.284,2003.488,1.57
31.287,2003.487,1.84
31.289,2003.486,1.53
31.292,2003.485,1.47
31.295,2003.484,1.42
31.298,2003.483,1.55
31.301,2003.482,1.79
31.304,2003.481,1.4
31.307,2003.48,1.96
31.31,2003.479,3.81
31.313,2003.478,3.55
31.317,2003.477,2.66
31.32,2003.476,2.52
31.324,2003.474,2.61
31.327,2003.473,1.76
31.33,2003.472,1.95
31.334,2003.471,2.64
31.337,2003.47,2.52
31.341,2003.469,7.82
31.344,2003.468,8.69
31.347,2003.467,8.5
31.351,2003.465,7.89
31.354,2003.464,6.25
31.358,2003.463,5.29
31.361,2003.462,3.88
31.364,2003.461,3.93
31.368,2003.459,3.36
31.371,2003.458,3.3
31.375,2003.457,3.52
31.378,2003.456,3.13
31.382,2003.455,2.92
31.386,2003.453,3.19
31.389,2003.452,3.07
31.393,2003.451,2.76
31.396,2003.45,3.04
31.4,2003.449,3.02
31.404,2003.447,3.11
31.407,2003.446,3.08
31.411,2003.445,2.97
31.414,2003.444,3.02
31.418,2003.442,3.21
31.425,2003.44,14.7
31.433,2003.437,14.08
31.44,2003.435,13.22
31.447,2003.433,13.54
31.454,2003.43,13.27
31.461,2003.428,13.02
31.469,2003.425,10.62
31.476,2003.423,7.55
31.483,2003.42,6.27
31.49,2003.418,5.06
31.498,2003.415,4.51
31.505,2003.413,4.56
31.512,2003.41,4.03
31.519,2003.408,3.97
31.527,2003.405,4.45
31.534,2003.403,4.14
31.541,2003.401,5.1
31.548,2003.398,3.46
31.555,2003.396,3.33
31.563,2003.393,2.85
31.57,2003.391,2.68
31.577,2003.388,3.3
31.584,2003.386,6.37
31.592,2003.383,6.28
31.599,2003.381,5.55
31.606,2003.378,5.89
